,user_id,name,gender,address,date_of_birth,email_address,height_cm,weight_kg,account_create_date,bike_serial,email,number_of_visit,first_purchase_date,original_source
52,52,Dominic Jones,male,"Studio 94, Bethan spur, South Lindsey, PE19 1AF",25/07/1986,d*******jo@yahoo.com,183,77,01/12/2021,SN0052,d*******jo@yahoo.com,24,22/12/2020,direct
60,60,Colin Singh,male,"5 Harriet islands, East Sheilaside, M12 6DY",20/03/1955,c****s@hotmail.com,161,36,02/12/2021,SN0060,c****s@hotmail.com,17,23/01/2021,social media
205,205,Christine Hunt-Taylor,female,"Flat 90X, Lynda spur, Albertborough, HU7 4WD",23/12/1998,c*****h@hotmail.com,178,69,04/12/2021,SN0205,c*****h@hotmail.com,15,04/03/2021,direct
57,57,Dr Jack Ahmed,male,"45 Wood expressway, Gemmabury, WF15 8AD",19/01/2001,d****ja@gmail.com,178,76,04/12/2021,SN0057,d****ja@gmail.com,24,06/03/2021,offline
150,150,Ashleigh Welch-Barnett,female,"4 Joan trace, North Nicholas, LL15 2RU",19/08/1976,a*****we@gmail.com,183,60,04/12/2021,SN0150,a*****we@gmail.com,34,07/03/2021,social media
53,53,Emily Palmer,female,"Flat 27, Jenkins hill, Paynefurt, SR3 1XT",22/01/1970,e******pa@yahoo.com,157,51,04/12/2021,SN0053,e******pa@yahoo.com,38,13/03/2021,direct
114,114,Lucy Walton-Walsh,female,"00 Ricky mews, New Mitchellville, WV16 4NP",17/01/1956,l*****wa@hotmail.com,182,62,04/12/2021,SN0114,l*****wa@hotmail.com,22,18/03/2021,offline
6,6,Dr Ronald Potter,male,"Flat 81k, Charlie islands, West Janethaven, BS3 3AN",18/03/1970,d****r1@gmail.com,176,49,04/12/2021,SN0006,d****r1@gmail.com,19,25/03/2021,direct
3,3,Ms Kimberley Walker,female,"6 Cameron freeway, Beverleymouth, M14 5GA",22/04/1975,m******ki@hotmail.com,179,76,05/12/2021,SN0003,m******ki@hotmail.com,19,09/04/2021,offline
204,204,Mrs Hollie Gray,female,"Flat 45V, Nathan ramp, North Megan, NR7 0AG",13/08/1964,m******ho91@hotmail.com,179,73,05/12/2021,SN0204,m******ho91@hotmail.com,30,12/04/2021,social media
10,10,Dr Anne Murray,female,"824 Farrell rest, Cartwrightmouth, CM6 2LU",28/11/1970,d****a@gmail.com,168,53,05/12/2021,SN0010,d****a@gmail.com,13,13/04/2021,offline
67,67,Matthew Leach,male,"Flat 40, Ward place, South Carolyntown, LL20 8RS",01/01/1960,m******l70@gmail.com,187,41,05/12/2021,SN0067,m******l70@gmail.com,21,15/04/2021,social media
135,135,Jay Clarke,male,"Flat 6, Francis motorway, Adamsburgh, DT10 9BH",04/09/1981,j******c@hotmail.com,187,69,05/12/2021,SN0135,j******c@hotmail.com,24,03/05/2021,social media
162,162,Pamela James,female,"Studio 18, Phillip camp, Port Charlotteburgh, SA5 5JH",15/01/1988,p*****j77@gmail.com,168,73,06/12/2021,SN0162,p*****j77@gmail.com,18,08/05/2021,social media
71,71,Heather Harris,female,"Studio 22w, Declan islands, Sharpbury, NG16 2RH",31/01/1949,h*****ha@gmail.com,165,40,06/12/2021,SN0071,h*****ha@gmail.com,22,19/05/2021,google ads
47,47,Rachel Hill,female,"6 Palmer ford, Adamsberg, PE14 0HR",25/06/1982,r******hi82@yahoo.com,175,58,06/12/2021,SN0047,r******hi82@yahoo.com,17,25/05/2021,social media
183,183,Mr Mohammad Frost,male,"Flat 02, Bailey courts, Lisatown, TN3 9BA",25/03/1955,m****m@yahoo.com,174,63,07/12/2021,SN0183,m****m@yahoo.com,20,18/06/2021,direct
217,217,Ms Michelle Jones,female,"Studio 69z, Gary harbor, North Dylan, BB18 5UW",28/04/1947,m*******m@gmail.com,187,52,07/12/2021,SN0217,m*******m@gmail.com,18,24/06/2021,social media
232,232,Iain Elliott,male,"Flat 9, Tina street, East Stephanie, NN17 2ED",08/12/1950,i*****e@hotmail.com,159,60,07/12/2021,SN0232,i*****e@hotmail.com,20,30/06/2021,google ads
152,152,Rosie Myers,female,"560 Johnston rest, Port Gerardside, HR2 8BZ",07/05/1999,r****my@hotmail.com,171,76,08/12/2021,SN0152,r****my@hotmail.com,18,03/07/2021,direct
167,167,Clifford Bailey-Norton,male,"837 Price rapid, Ruthberg, EX39 1EU",28/01/1989,c*****b@yahoo.com,187,76,08/12/2021,SN0167,c*****b@yahoo.com,14,07/07/2021,google ads
237,237,Dr Derek Walker,male,"01 Norris streets, Pearsonstad, AB15 9ER",29/11/1995,d******d10@gmail.com,179,83,08/12/2021,SN0237,d******d10@gmail.com,13,26/07/2021,social media
92,92,Justin Rogers,male,"Studio 81y, Callum flats, Lynnefurt, YO8 9GF",28/09/1967,j******r@gmail.com,179,86,08/12/2021,SN0092,j******r@gmail.com,16,29/07/2021,google ads
109,109,Frances Davis-Pearson,female,"422 Karl junction, South Hollieton, IP17 2DE",30/06/1975,f*******d@gmail.com,162,57,09/12/2021,SN0109,f*******d@gmail.com,18,13/08/2021,social media
124,124,Robin Moore-Willis,male,"Flat 39, Ashleigh tunnel, Clarkside, CM6 2LR",21/09/1959,r*******mo@gmail.com,178,66,09/12/2021,SN0124,r*******mo@gmail.com,10,19/08/2021,offline
13,13,Brenda Harris,female,"2 Clifford glens, Emilyhaven, IG8 1RW",15/12/1965,b*****h62@gmail.com,158,49,09/12/2021,SN0013,b*****h62@gmail.com,18,22/08/2021,social media
240,240,Marian Parsons,male,"Flat 18W, Clarke run, North Kenneth, DE55 1LR",18/10/1950,m*****p2@yahoo.com,171,76,09/12/2021,SN0240,m*****p2@yahoo.com,16,29/08/2021,google ads
180,180,Heather Khan-Smith,female,"583 Rosemary ridges, New Rachel, EH14 5JW",14/01/1973,h*******kh@yahoo.com,151,31,09/12/2021,SN0180,h*******kh@yahoo.com,23,31/08/2021,direct
132,132,Ruth Freeman,female,"70 Bradshaw island, Lynnefort, LA1 9SR",17/01/1963,r*******f@gmail.com,179,60,10/12/2021,SN0132,r*******f@gmail.com,16,28/09/2021,social media
233,233,Mohammad Ali,male,"Flat 97l, Jacqueline light, Stanleychester, GU9 9JZ",24/06/1959,m*******al@hotmail.com,152,48,11/12/2021,SN0233,m*******al@hotmail.com,11,05/10/2021,google ads
138,138,Luke Owens,male,"Flat 00, Harding haven, East Rosieshire, PR1 2TY",07/11/1957,l******ow58@yahoo.com,178,66,11/12/2021,SN0138,l******ow58@yahoo.com,11,27/10/2021,direct
85,85,Sara Smith,female,"627 Michael run, Poolemouth, NG11 8FD",16/11/1990,s******sm@hotmail.com,173,77,14/12/2021,SN0085,s******sm@hotmail.com,11,01/11/2021,social media
51,51,Lynn Barton-Davis,female,"04 Hill summit, Shahport, EX39 3QL",13/02/2000,l******ba@gmail.com,182,52,13/12/2021,SN0051,l******ba@gmail.com,12,02/11/2021,direct
29,29,Mr Antony Davey,male,"Studio 90L, Warner track, Mooreport, UB1 2QL",24/10/1961,m*******an@gmail.com,189,71,14/12/2021,SN0029,m*******an@gmail.com,14,06/11/2021,google ads
90,90,Luke Pearce,male,"8 Young island, Lake Rogerborough, PR3 1ND",20/08/1974,l*******pe@gmail.com,168,53,13/12/2021,SN0090,l*******pe@gmail.com,17,06/11/2021,google ads
35,35,Gregory Martin,male,"1 Jane canyon, New Lisa, M9 8AT",23/09/1981,g*******m86@hotmail.com,152,50,14/12/2021,SN0035,g*******m86@hotmail.com,10,08/11/2021,google ads
189,189,Joyce Howard,female,"Studio 3, Marshall groves, Chapmanstad, SS16 4DR",29/08/1980,j****ho@gmail.com,172,71,16/12/2021,SN0189,j****ho@gmail.com,19,09/11/2021,social media
245,245,Miss Janet Thomas,female,"Studio 0, Nicholas viaduct, North Tracey, NP11 5DB",15/04/1997,m******j16@yahoo.com,164,67,20/12/2021,SN0245,m******j16@yahoo.com,19,11/11/2021,direct
83,83,Fiona Cameron-Evans,female,"Flat 77S, Morgan key, Maureenport, AB16 6PG",16/12/1965,f*******c@hotmail.com,168,62,16/12/2021,SN0083,f*******c@hotmail.com,18,12/11/2021,offline
62,62,Darren King-Fox,male,"357 Williams mountain, Port Charlesmouth, NN9 6QF",26/10/1945,d****ki19@yahoo.com,176,71,18/12/2021,SN0062,d****ki19@yahoo.com,18,15/11/2021,social media
89,89,Kenneth Dale,male,"9 Bibi knoll, North Dannybury, KA7 9SN",25/12/1998,k******d@gmail.com,172,82,25/12/2021,SN0089,k******d@gmail.com,15,17/11/2021,social media
44,44,Catherine Patel,female,"27 Wilkinson garden, West Edward, SA72 6XQ",22/08/1964,c******p8@gmail.com,189,82,01/01/2022,SN0044,c******p8@gmail.com,17,18/11/2021,offline
153,153,Tina Thomas,female,"2 Howard valley, Chloeview, EC3M 8AP",14/11/1976,t****t@gmail.com,151,38,01/01/2022,SN0153,t****t@gmail.com,22,18/11/2021,social media
201,201,Beth Flynn,female,"0 Atkinson springs, Murphyfort, WF1 5SY",28/07/1945,b*******fl@yahoo.com,151,47,31/12/2021,SN0201,b*******fl@yahoo.com,16,18/11/2021,social media
88,88,Darren Alexander,male,"Flat 40b, Allen spur, Alanborough, CH42 5QA",09/11/1965,d*****al@gmail.com,161,57,19/12/2021,SN0088,d*****al@gmail.com,18,19/11/2021,direct
108,108,Damien Hughes,male,"Flat 47, Kay estate, Bennettbury, CB10 2HA",20/10/1951,d*****hu33@hotmail.com,186,86,13/12/2021,SN0108,d*****hu33@hotmail.com,17,21/11/2021,social media
185,185,Rosie Young,female,"Studio 8, Karl estates, Port Royberg, DA12 3JP",02/02/1961,r*****y@yahoo.com,166,46,13/12/2021,SN0185,r*****y@yahoo.com,18,21/11/2021,offline
159,159,Eric Dean,male,"Studio 16, Naomi village, East Stanleyport, WA9 5GX",26/02/1970,e*****de43@hotmail.com,162,60,01/03/2022,SN0159,e*****de43@hotmail.com,15,23/11/2021,offline
50,50,Mr Gerald Fry,male,"Studio 78E, May mountains, North Craig, PO11 9SE",20/01/1948,m******ge@hotmail.com,174,42,29/12/2021,SN0050,m******ge@hotmail.com,28,24/11/2021,google ads
148,148,Samuel Evans,male,"Flat 80w, O'Neill cape, Port Janice, DT4 8LW",20/05/1950,s*****ev@yahoo.com,156,34,30/12/2021,SN0148,s*****ev@yahoo.com,17,25/11/2021,direct
126,126,Dr Geoffrey Williams,male,"839 Turner plaza, Justinville, CV34 8DE",17/06/1980,d******g@gmail.com,154,56,23/12/2021,SN0126,d******g@gmail.com,16,28/11/2021,offline
242,242,Paige Bennett,unknown,"Flat 98, Johnson groves, South Howardchester, BH12 3LQ",26/04/1945,p******b16@yahoo.com,156,38,17/12/2021,SN0242,p******b16@yahoo.com,15,28/11/2021,offline
246,246,Elliot Little,male,"6 Akhtar estates, Stevenfort, BN16 3PS",01/03/1944,e*******l@gmail.com,184,88,26/12/2021,SN0246,e*******l@gmail.com,18,30/11/2021,social media
161,161,Victor Fitzgerald-Allen,male,"Studio 25, Rosemary canyon, Leonfort, EN3 6UB",10/06/1993,v*****f@hotmail.com,151,45,28/12/2021,SN0161,v*****f@hotmail.com,11,01/12/2021,offline
181,181,Keith Wood,male,"6 Jean tunnel, New Danny, NG31 7BH",21/06/1964,k*****wo@hotmail.com,185,78,16/12/2021,SN0181,k*****wo@hotmail.com,11,01/12/2021,direct
236,236,Joanne Reynolds,female,"7 Hunter stravenue, Nicholasburgh, N12 9LF",16/02/1997,j*******r@gmail.com,171,61,24/12/2021,SN0236,j*******r@gmail.com,9,02/12/2021,social media
55,55,Joyce Evans,female,"7 Mohammed mission, South Ameliaport, NG7 4BH",04/11/1956,j******e@gmail.com,164,69,28/12/2021,SN0055,j******e@gmail.com,12,04/12/2021,google ads
145,145,Ms Carly Chan,female,"Flat 42A, Chelsea passage, Smithtown, HU3 1SQ",21/11/1943,m*****c@gmail.com,175,55,15/12/2021,SN0145,m*****c@gmail.com,14,04/12/2021,offline
