user_id,name,gender,address,date_of_birth,email_address,height_cm,weight_kg,account_create_date,bike_serial
0,Mrs Katie Hudson,female,"979 Marcus mall,Mitchellside,B5 9PA",23/10/1960,m*****ka@yahoo.com,171,49,02/03/2022,SN0000
1,Mr Sam Simmons,male,"Studio 77U,Arthur lock,Tomchester,B22 4DL",25/09/1995,m*******sa@gmail.com,,53,29/01/2022,SN0001
1,Mr Sam Simmons,male,"Studio 77U,Arthur lock,Tomchester,B22 4DL",25/09/1995,m*******sa@gmail.com,164,53,29/01/2022,SN0001
2,Lorraine Bentley,female,"Flat 89,Williams avenue,Katieville,SE10 0JT",22/03/1966,l******be@hotmail.com,177,87,13/03/2022,SN0002
3,Ms Kimberley Walker,female,"6 Cameron freeway,Beverleymouth,HD94 8BE",22/04/1975,m******ki@hotmail.com,179,76,05/12/2021,SN0003
4,Kimberley Taylor,female,"Flat 0,Thomas trace,New Tom,E0 3BZ",20/04/1978,k*****ta@gmail.com,182,82,09/02/2022,SN0004
5,Tony Moore,male,"Flat 4,Miah plaza,New Judithville,L0T 2RT",10/11/2001,t******m64@yahoo.com,181,75,21/01/2022,SN0005
6,Dr Ronald Potter,male,"Flat 81k,Charlie islands,West Janethaven,W26 8XU",18/03/1970,d****r1@gmail.com,176,49,04/12/2021,SN0006
7,Ryan Begum,male,"Flat 8,Judith burgs,Taylorside,HS85 8ZR",13/01/1965,r*****b65@gmail.com,182,62,05/02/2022,SN0007
8,Connor Bell,male,"8 Josh ranch,Daviesstad,WS15 7NE",26/10/1961,c****be@gmail.com,184,74,23/01/2022,SN0008
9,Eric Young,male,"Studio 66,Hyde ways,Taylortown,ZE7A 8ZB",02/04/1966,e******y70@hotmail.com,176,65,30/03/2022,SN0009
10,Dr Anne Murray,female,"824 Farrell rest,Cartwrightmouth,MK26 1PN",28/11/1970,d****a@gmail.com,168,53,05/12/2021,SN0010
11,Glen Foster,male,"11 James way,Dannytown,M7S 1TF",24/10/1996,g****fo@yahoo.com,,77,26/02/2022,SN0011
12,Mrs Donna Richardson,female,"427 Carter locks,Turnerfort,PO4 5NP",09/03/1965,m******do@gmail.com,154,37,22/02/2022,SN0012
13,Brenda Harris,female,"2 Clifford glens,Emilyhaven,WF2R 5YF",15/12/1965,b*****h62@gmail.com,158,49,09/12/2021,SN0013
13,Brenda Harris,female,"2 Clifford glens,Emilyhaven,WF2R 5YF",15/12/1965,b*****h62@gmail.com,158,49,09/12/2021,SN0013
14,Lee Fuller,male,"882 Green mews,Kevinfurt,S19 6JA",20/12/1964,l****f@hotmail.com,178,82,20/02/2022,SN0014
15,Mr Howard Baker,male,"650 Dodd locks,Robertsberg,TS59 6TZ",03/02/1960,m******ho@gmail.com,177,68,21/03/2022,SN0015
16,Brandon Morgan,male,"8 Phillip meadow,Dianaburgh,HP8X 0JT",02/08/1951,b******m@hotmail.com,188,88,05/02/2022,SN0016
17,Mrs Rosie Pearce,female,"Flat 7,Richard island,Rowestad,S57 2ND",31/03/1991,m****ro22@yahoo.com,182,59,16/03/2022,SN0017
18,Stanley Green-Clark,male,"Flat 9,Vanessa haven,Ahmedfort,SL97 4NJ",09/10/1992,s****gr@yahoo.com,189,67,22/02/2022,SN0018
